Epoch,Avg Loss,Accuracy
1,0.07518053815986675,0.9781650641025641
2,0.04347306762708915,0.9856770833333334
3,0.038452678969826175,0.9865785256410257
4,0.038614379928474545,0.9864783653846154
5,0.03238190678651639,0.9904847756410257
6,0.03202475551285179,0.9906850961538461
7,0.03572166533224565,0.9893830128205128
8,0.036455185572636904,0.9892828525641025
9,0.03252422830210213,0.9914863782051282
10,0.035690795168117496,0.9897836538461539
11,0.03677365802431536,0.9897836538461539
12,0.043071157890443745,0.9904847756410257
13,0.044037239140837486,0.9879807692307693
14,0.03912524928093775,0.9906850961538461
15,0.03949562585776862,0.9904847756410257
16,0.04148793308869632,0.9917868589743589
17,0.04461200661904996,0.9899839743589743
18,0.04044354997943035,0.9909855769230769
19,0.04642968899949223,0.9891826923076923
20,0.048546909714325,0.9894831730769231
21,0.037539147193624646,0.9904847756410257
22,0.06490269168262386,0.9865785256410257
23,0.04840498020407671,0.9905849358974359
24,0.05498120756949622,0.9884815705128205
25,0.041573659295243585,0.9908854166666666
26,0.04338065677246251,0.9917868589743589
27,0.06889728008337834,0.9870793269230769
28,0.05189127716526215,0.9892828525641025
29,0.04469688024664993,0.9925881410256411
30,0.043377149720941754,0.9921875
31,0.051111558247144945,0.9907852564102564
32,0.05758315182477466,0.9902844551282052
33,0.05965851473395043,0.9899839743589743
34,0.05940988105470414,0.9892828525641025
35,0.05384997979469192,0.9908854166666666
36,0.06246229005148143,0.9884815705128205
37,0.05199554991888242,0.991386217948718
38,0.06149277174116481,0.9902844551282052
39,0.06107705777957051,0.9904847756410257
40,0.054494950519071494,0.9917868589743589
41,0.05689324416320975,0.9919871794871795
42,0.05655802212195209,0.9922876602564102
43,0.055835660544058,0.9924879807692307
44,0.057210523127867764,0.9921875
45,0.05766130371140193,0.9923878205128205
46,0.05808489408966576,0.9925881410256411
47,0.058397156254210665,0.9925881410256411
48,0.05874870603092834,0.9925881410256411
49,0.05898355688015687,0.9924879807692307
50,0.05924576099088487,0.9924879807692307
51,0.059497679601973275,0.9924879807692307
52,0.05975049924974448,0.9924879807692307
53,0.05992604947176639,0.9924879807692307
54,0.060167244936090325,0.9924879807692307
55,0.06041439450326372,0.9924879807692307
56,0.06055725548105966,0.9924879807692307
57,0.06078417791149804,0.9924879807692307
58,0.060961498608817485,0.9924879807692307
59,0.06114073094349219,0.9923878205128205
60,0.06128818969340626,0.9923878205128205
61,0.06145091045979466,0.9922876602564102
62,0.061603576800677816,0.9922876602564102
63,0.06175308676422603,0.9922876602564102
64,0.06189286459598538,0.9922876602564102
65,0.06201824235141355,0.9922876602564102
66,0.062146795015362334,0.9922876602564102
67,0.062282242819338654,0.9922876602564102
68,0.06141956842217994,0.9923878205128205
69,0.06254134576328359,0.9922876602564102
70,0.06264062918773342,0.9922876602564102
71,0.0627415803694429,0.9923878205128205
72,0.06285788319515936,0.9923878205128205
73,0.06297700864528967,0.9923878205128205
74,0.06307946511927016,0.9924879807692307
75,0.0631731069952109,0.9924879807692307
76,0.06310908742756596,0.9925881410256411
77,0.06221063904378209,0.9925881410256411
78,0.06346644139155298,0.9923878205128205
79,0.06355737645498676,0.9924879807692307
80,0.06365651080466506,0.9923878205128205
81,0.06374432644131335,0.9923878205128205
82,0.06385780210570328,0.9923878205128205
83,0.0639283955587085,0.9923878205128205
84,0.06402873983865238,0.9923878205128205
85,0.06410521444641185,0.9923878205128205
86,0.06417085765562966,0.9923878205128205
87,0.06427424870155381,0.9923878205128205
88,0.06435366528840966,0.9923878205128205
89,0.06437898205910841,0.9923878205128205
90,0.06451274950237772,0.9923878205128205
91,0.06455496345970382,0.9923878205128205
92,0.06399767361784878,0.9924879807692307
93,0.06472951382557914,0.9923878205128205
94,0.06480539587990537,0.9923878205128205
95,0.06488392729804378,0.9923878205128205
96,0.06495846742951436,0.9923878205128205
97,0.06502476085658243,0.9923878205128205
98,0.06509366661544683,0.9923878205128205
99,0.06515040167297333,0.9923878205128205
100,0.06523470051849191,0.9923878205128205
